domain,scenario,seed,round,condition,metric,d_local,d_trajectory,attribution_error,attribution_error_normalized,sign_disagreement,trajectory_history_distance,rank_disagreement
energy_market_v1,baseline_v1,3,1,random_valid,unserved_energy,466.1124,466.1124,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,clearing_price,162.7479,162.7479,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,consumer_cost,32841.9645,32841.9645,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,generator_profit_total,40883.4667,40883.4667,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,renewable_share,-0.1485,-0.1485,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,total_emissions,-163.0802,-163.0802,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,random_valid,unserved_energy,257.6452,257.6452,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,clearing_price,159.5274,159.5274,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,consumer_cost,80065.8781,80065.8781,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,generator_profit_total,66757.034,66757.034,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,renewable_share,-0.1956,-0.1956,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,total_emissions,-27.853399999999993,-27.853399999999993,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,random_valid,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,clearing_price,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,consumer_cost,-8174.712399999997,-8174.712399999997,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,generator_profit_total,-15955.8383,-15955.8383,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,renewable_share,-0.4438,-0.4438,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,total_emissions,111.0589,111.0589,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,random_valid,unserved_energy,150.8991,150.8991,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,clearing_price,-65.352,-65.352,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,consumer_cost,-36817.138600000006,-36817.138600000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,generator_profit_total,-11930.6241,-11930.6241,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,renewable_share,0.7507,0.7507,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,total_emissions,-313.4646,-313.4646,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,5,random_valid,unserved_energy,378.5323,378.5323,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,clearing_price,12.911100000000005,12.911100000000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,consumer_cost,-2494.0059000000037,-2494.0059000000037,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,generator_profit_total,-7485.518699999999,-7485.518699999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,renewable_share,-0.376,-0.376,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,total_emissions,-40.362300000000005,-40.362300000000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,6,random_valid,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,clearing_price,-10.830299999999994,-10.830299999999994,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,consumer_cost,-17739.648699999998,-17739.648699999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,generator_profit_total,-2881.1980999999996,-2881.1980999999996,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,renewable_share,0.36460000000000004,0.36460000000000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,total_emissions,-185.54229999999998,-185.54229999999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,1,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,clearing_price,-11.959400000000002,-11.959400000000002,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,consumer_cost,-23731.070900000006,-23731.070900000006,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,generator_profit_total,-4730.0599,-4730.0599,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,renewable_share,0.44310000000000005,0.44310000000000005,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,total_emissions,-248.1162,-248.1162,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,2,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,clearing_price,-3.8468000000000018,-3.8468000000000018,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,consumer_cost,-20912.116599999998,-20912.116599999998,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,generator_profit_total,-1410.1699000000008,-1410.1699000000008,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,renewable_share,0.36710000000000004,0.36710000000000004,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,total_emissions,-244.908,-244.908,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,3,top_score,unserved_energy,0.0,0.0,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,top_score,clearing_price,-10.286699999999996,-10.286699999999996,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,top_score,consumer_cost,-24803.832099999996,-24803.832099999996,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,top_score,generator_profit_total,-7142.990099999999,-7142.990099999999,0.0,0.0,False,,False
energy_market_v1,baseline_v1,3,4,top_score,renewable_share,0.5149,0.5149,0.0,0.0,False,,False
