domain,scenario,condition,seed,wall_s,measured_s,residual_s,bundle_bytes,trace_bytes,content_hash,t_candidate_generation_s,t_observation_s,t_controller_s,t_validation_syntactic_s,t_validation_semantic_s,t_resolution_s,t_evidence_collection_s,t_hashing_s
energy_market_v1,tight_supply_v1,rule,7,0.0322086929991201,0.014805370999965817,0.017403321999154286,62897,34500,06645f9ee5f3a32a,0.012722600997221889,0.00010389800809207372,0.00017674199625616893,0.00036626199653255753,9.25430103961844e-05,0.0006724819977534935,4.9400994612369686e-05,0.00062144199910108
energy_market_v1,tight_supply_v1,rule,8,0.030185945000994252,0.014220443972590147,0.015965501028404105,62877,34500,48561337d993f0cb,0.012258741990081035,9.763699199538678e-05,0.00020703900372609496,0.0002949470035673585,7.841398837626912e-05,0.0006146339983388316,4.465099482331425e-05,0.0006243800016818568
energy_market_v1,tight_supply_v1,rule,9,0.05052006899859407,0.01794749002510798,0.03257257897348609,62886,34500,212a3f3e71da9c58,0.014854705998004647,0.0001251130124728661,0.00021580800603260286,0.00037897999936831184,0.00010085600297315978,0.001023327000439167,6.117100565461442e-05,0.0011875290001626126
energy_market_v1,tight_supply_v1,rule,10,0.03721362899887026,0.0178241599642206,0.019389469034649665,62899,34500,183a6a058222bd68,0.015315408003516495,0.00017337000099360012,0.0003060789895243943,0.0004404299943416845,0.00011598400305956602,0.0008024849994399119,9.696397319203243e-05,0.0005734400001529139
energy_market_v1,tight_supply_v1,rule,11,0.03309704799903557,0.01607848699495662,0.017018561004078947,62899,34500,226306a5516ec9f2,0.013759790013864404,0.00011098698814748786,0.00025789699429878965,0.00035583798671723343,0.00010866400407394394,0.0008260540016635787,5.4865005949977785e-05,0.0006043920002412051
energy_market_v1,tight_supply_v1,rule,12,0.02830584800176439,0.013040326990449103,0.015265521011315286,62904,34500,e98ad4316444cb37,0.01109658901259536,0.00014543899305863306,0.00017317899619229138,0.0003034730070794467,8.325099770445377e-05,0.000591480995353777,5.575298928306438e-05,0.0005911619991820771
energy_market_v1,tight_supply_v1,rule,13,0.028869809000752866,0.013263284992717672,0.015606524008035194,62884,34500,251518e70d501843,0.011273125986917876,9.421001232112758e-05,0.00017045798449544236,0.0002841609930328559,7.73290084907785e-05,0.0006520179995277431,4.062100560986437e-05,0.0006713620023219846
energy_market_v1,tight_supply_v1,rule,14,0.02891826300037792,0.012931893015775131,0.01598636998460279,62895,34500,0bdc64e15be21d57,0.011047293995943619,9.439800487598404e-05,0.00017769200712791644,0.0002699230062717106,7.95980122347828e-05,0.0006236770095711108,4.298398198443465e-05,0.0005963269977655727
energy_market_v1,tight_supply_v1,rule,15,0.028541789997689193,0.012918387012177845,0.015623402985511348,62893,34500,6101d81b4a8f8a19,0.011180689012689982,9.790699550649151e-05,0.0001524150065961294,0.0002968400076497346,7.65510012570303e-05,0.0005479289939103182,4.108299617655575e-05,0.000524972998391604
energy_market_v1,tight_supply_v1,rule,16,0.029533738997997716,0.012818664974474814,0.016715074023522902,62906,34500,aa20da0abf818b29,0.010966052999719977,0.00011942199489567429,0.00014770598500035703,0.00027568000587052666,8.672999683767557e-05,0.0006308129995886702,4.506399272941053e-05,0.0005471969998325221
energy_market_v1,tight_supply_v1,rule,17,0.031272898999304743,0.014529416988807498,0.016743482010497246,62891,34500,367342a17ff4ed50,0.012560699997266056,9.766600123839453e-05,0.00015687500854255632,0.0002984099919558503,8.225199417211115e-05,0.0007305479994101916,4.382499537314288e-05,0.0005591410008491948
energy_market_v1,tight_supply_v1,rule,18,0.030079008000029717,0.013126451991411159,0.016952556008618558,62899,34500,2dc59946fe3aa2df,0.011041360987292137,0.0001558759977342561,0.00015850500858505256,0.0002788190067803953,8.073699791566469e-05,0.0007670409941056278,4.638999962480739e-05,0.000597722999373218
energy_market_v1,tight_supply_v1,rule,19,0.03276394600106869,0.015446370969584677,0.01731757503148401,62886,34500,1a0963423e6d46bb,0.012979401002667146,0.00011032200200133957,0.00018382599955657497,0.00034106798557331786,9.718298315419815e-05,0.000734714005375281,5.26249896211084e-05,0.0009472320016357116
energy_market_v1,tight_supply_v1,rule,20,0.03334370800075703,0.01368347198877018,0.019660236011986854,62869,34500,55ffbd98dfb347f4,0.011489590018754825,0.00010106699119205587,0.00017584699162398465,0.00029196898321970366,7.854400973883457e-05,0.000678812986734556,4.859200998907909e-05,0.0008190499975171406
energy_market_v1,tight_supply_v1,rule,21,0.02996862500003772,0.013552563010307495,0.016416061989730224,62906,34500,98d01a142ba47497,0.011552257994480897,9.384099757880904e-05,0.0001616890003788285,0.00029299999732756987,7.37369991838932e-05,0.0007620320102432743,4.78810106869787e-05,0.0005681250004272442
energy_market_v1,tight_supply_v1,rule,22,0.032296572000632295,0.015223503014567541,0.017073068986064754,62905,34500,8bfb673aaad769fd,0.013163083996914793,0.0001218490106111858,0.0001992410034290515,0.00031968900657375343,8.680299652041867e-05,0.0007215219993668143,5.049200262874365e-05,0.0005608229985227808
energy_market_v1,tight_supply_v1,rule,23,0.028787597999325953,0.013218108033470344,0.01556948996585561,62882,34500,bb759fa61fe51bc3,0.011153838022437412,9.861900252872147e-05,0.0001812839946069289,0.0003341120136610698,8.160399738699198e-05,0.0007515549950767308,4.604100467986427e-05,0.0005710550030926242
energy_market_v1,tight_supply_v1,rule,24,0.029950872998597333,0.013125169010891113,0.01682570398770622,62910,34500,98366958ad528a2b,0.011170626996317878,0.00011799799904110841,0.00015439201524714008,0.00026777600214700215,7.59619906602893e-05,0.0006478440009232145,4.194600842311047e-05,0.0006486239981313702
energy_market_v1,tight_supply_v1,rule,25,0.02961960099855787,0.0133802930067759,0.01623930799178197,62843,34500,0e72dbc0d0496473,0.011316644999169512,0.00010162299804505892,0.00016669400793034583,0.00032600100166746415,8.501600677846e-05,0.0007443100003001746,4.8426994908368215e-05,0.0005915769979765173
energy_market_v1,tight_supply_v1,rule,26,0.036378381999384146,0.016692960030923132,0.019685421968461014,62887,34500,48b6f6e86e1f812c,0.01407002301493776,0.0001074819992936682,0.00018223299775854684,0.00033457901736255735,9.011799556901678e-05,0.0010583549992588814,5.207900539971888e-05,0.000798091001342982
energy_market_v1,tight_supply_v1,rule,27,0.034455072000127984,0.016567139035032596,0.017887932965095388,62898,34500,c3af5b15f1e46681,0.014111545006016968,0.0001180780163849704,0.00032888199348235503,0.00045940900236018933,9.245001274393871e-05,0.0008451819994661491,5.288700413075276e-05,0.0005587060004472733
energy_market_v1,tight_supply_v1,rule,28,0.03352302099665394,0.015040626993140904,0.018482394003513036,62916,34500,8ee34473f9d058e4,0.012836844005505554,0.00011303298379061744,0.00020982699788874015,0.00032654199821990915,8.937199891079217e-05,0.0007013249996816739,7.908100815257058e-05,0.0006846030009910464
energy_market_v1,tight_supply_v1,rule,29,0.03546915699917008,0.01704656100991997,0.018422595989250112,62870,34500,7996ae7339fb7222,0.014485734005575068,0.0001255120077985339,0.00022116100444691256,0.0004156860049988609,0.00010734399984357879,0.0010482029974809848,6.865999239380471e-05,0.0005742609973822255
energy_market_v1,tight_supply_v1,rule,30,0.033412782999221236,0.014333480976347346,0.01907930202287389,62905,34500,d94dc32d4b2920e4,0.01230886799385189,0.00011105798694188707,0.00024757902065175585,0.00036145098056294955,0.00010011400081566535,0.0006195109963300638,5.1673996495082974e-05,0.0005332260006980505
energy_market_v1,tight_supply_v1,random_valid,1,0.03253808400040725,0.015544971985946177,0.016993112014461076,64162,35076,e16e47aff109d5bb,0.012284725988138234,0.00010477298201294616,0.0009529809940431733,0.0003079020025325008,9.097001384361647e-05,0.0010308579985576216,5.118100671097636e-05,0.0007215810001071077
energy_market_v1,tight_supply_v1,random_valid,2,0.029204523998487275,0.014026798995473655,0.01517772500301362,64220,35076,603d3af73d73ebe4,0.011283421008556616,0.00011498400999698788,0.0009048620013345499,0.00035147799644619226,9.097498332266696e-05,0.0006596390012418851,4.498299313127063e-05,0.0005764570014434867
